name,state,distance,population,sat_verbal,sat_math,age_25_above
Alabama A & M University,AL,0.0,4206.0,424.0,420.0,0.1049
University of Alabama at Birmingham,AL,0.0,11383.0,570.0,565.0,0.2422
Amridge University,AL,1.0,291.0,,,0.8540000000000001
University of Alabama in Huntsville,AL,0.0,5451.0,595.0,590.0,0.264
Alabama State University,AL,0.0,4811.0,425.0,430.0,0.127
The University of Alabama,AL,0.0,29851.0,555.0,565.0,0.0853
Central Alabama Community College,AL,0.0,1592.0,,,0.3153
Athens State University,AL,0.0,2991.0,,,0.6409999999999999
Auburn University at Montgomery,AL,0.0,4304.0,486.0,509.0,0.293
Auburn University,AL,0.0,20514.0,575.0,588.0,0.0415
Birmingham Southern College,AL,0.0,1180.0,560.0,560.0,0.0152
Chattahoochee Valley Community College,AL,0.0,1727.0,,,0.3876
Concordia College Alabama,AL,0.0,322.0,420.0,400.0,0.2367
South University-Montgomery,AL,0.0,522.0,,,0.5726
Enterprise State Community College,AL,0.0,1729.0,,,0.3399
James H Faulkner State Community College,AL,0.0,4286.0,,,0.2909
Faulkner University,AL,0.0,2367.0,,,0.4589
Gadsden State Community College,AL,0.0,4917.0,,,0.3733
New Beginning College of Cosmetology,AL,0.0,115.0,,,0.3933
George C Wallace State Community College-Dothan,AL,0.0,4293.0,,,0.392
George C Wallace State Community College-Hanceville,AL,0.0,4920.0,,,0.3229
George C Wallace State Community College-Selma,AL,0.0,1513.0,,,0.3318
Herzing University-Birmingham,AL,0.0,302.0,,,0.7813
Huntingdon College,AL,0.0,1149.0,510.0,490.0,0.1937
Heritage Christian University,AL,0.0,62.0,,,0.5942
J F Drake State Community and Technical College,AL,0.0,974.0,,,0.4555
Jacksonville State University,AL,0.0,7060.0,495.0,485.0,0.22
Jefferson Davis Community College,AL,0.0,1033.0,,,0.406
Jefferson State Community College,AL,0.0,7443.0,,,0.3671
John C Calhoun State Community College,AL,0.0,9380.0,,,0.3688
Judson College,AL,0.0,376.0,,,0.2622
Lawson State Community College-Birmingham Campus,AL,0.0,2905.0,,,0.4089
University of West Alabama,AL,0.0,1916.0,,,0.1786
Lurleen B Wallace Community College,AL,0.0,1393.0,,,0.2503
Marion Military Institute,AL,0.0,433.0,550.0,558.0,0.0048
Miles College,AL,0.0,1778.0,,,0.1657
University of Mobile,AL,0.0,1460.0,470.0,465.0,0.2782
University of Montevallo,AL,0.0,2644.0,548.0,528.0,0.1203
Northwest-Shoals Community College,AL,0.0,3304.0,,,0.2605
University of North Alabama,AL,0.0,5485.0,506.0,484.0,0.1503
Northeast Alabama Community College,AL,0.0,2225.0,,,0.277
Oakwood University,AL,0.0,1878.0,476.0,450.0,0.1472
Alabama Southern Community College,AL,0.0,1180.0,,,0.1942
Prince Institute-Southeast,IL,0.0,84.0,,,0.6569
Reid State Technical College,AL,0.0,425.0,,,0.4081
Bishop State Community College,AL,0.0,2927.0,,,0.3966
Samford University,AL,0.0,3033.0,565.0,558.0,0.0601
Selma University,AL,0.0,472.0,,,0.5017
Shelton State Community College,AL,0.0,4755.0,,,0.2297
Snead State Community College,AL,0.0,2098.0,,,0.2867
University of South Alabama,AL,0.0,11267.0,510.0,518.0,0.2343
Spring Hill College,AL,0.0,1215.0,535.0,538.0,0.0712
Southeastern Bible College,AL,0.0,170.0,,,0.5466
Stillman College,AL,0.0,1056.0,448.0,424.0,0.0533
Talladega College,AL,0.0,819.0,,,0.1706
H Councill Trenholm State Community College,AL,0.0,1230.0,,,0.456
Troy University,AL,0.0,15025.0,,,0.5332
Tuskegee University,AL,0.0,2588.0,455.0,465.0,0.0368
United States Sports Academy,AL,0.0,90.0,,,0.4737
Bevill State Community College,AL,0.0,3210.0,,,0.3275
University of Alaska Anchorage,AK,0.0,12865.0,,,0.4386
Alaska Bible College,AK,0.0,27.0,,,0.4286
University of Alaska Fairbanks,AK,0.0,5536.0,,,0.4519
University of Alaska Southeast,AK,0.0,1428.0,,,0.555
Alaska Pacific University,AK,0.0,275.0,555.0,503.0,0.491
AVTEC-Alaska's Institute of Technology,AK,0.0,889.0,,,0.7127
Charter College-Anchorage,AK,0.0,3256.0,,,0.5472
Alaska Career College,AK,0.0,479.0,,,0.5612
Everest College-Phoenix,AZ,0.0,4102.0,,,0.67
Collins College,AZ,0.0,83.0,,,0.4764
Empire Beauty School-Paradise Valley,AZ,0.0,25.0,,,0.4651
Empire Beauty School-Tucson,AZ,0.0,126.0,,,0.4229
Thunderbird School of Global Management,AZ,0.0,1.0,,,0.0
American Indian College Inc,AZ,0.0,89.0,,,0.4684
American Institute of Technology,AZ,0.0,266.0,,,0.9137
Carrington College-Phoenix,AZ,0.0,617.0,,,0.2722
Carrington College-Mesa,AZ,0.0,718.0,,,0.4588
Carrington College-Tucson,AZ,0.0,424.0,,,0.3568
CollegeAmerica-Flagstaff,AZ,0.0,176.0,,,0.6277
Arizona Academy of Beauty-East,AZ,0.0,32.0,,,0.4894
Arizona Automotive Institute,AZ,0.0,628.0,,,0.6
Brookline College-Phoenix,AZ,0.0,1357.0,,,0.6389
Arizona State University-Tempe,AZ,0.0,39316.0,565.0,580.0,0.1414
Arizona Western College,AZ,0.0,7218.0,,,0.3166
University of Arizona,AZ,0.0,32646.0,,,0.091
Southwest University of Visual Arts-Tucson,AZ,0.0,161.0,,,0.8657
Central Arizona College,AZ,0.0,5275.0,,,0.4518
Brown Mackie College-Tucson,AZ,0.0,611.0,,,0.652
Charles of Italy Beauty College,AZ,0.0,54.0,,,0.4819
Cochise County Community College District,AZ,0.0,3759.0,,,0.4534
Empire Beauty School-Flagstaff,AZ,0.0,60.0,,,0.3208
Empire Beauty School-Chandler,AZ,0.0,97.0,,,0.469
Cortiva Institute-Tucson,AZ,0.0,130.0,,,0.5664
Avalon School of Cosmetology-Mesa,AZ,0.0,360.0,,,0.293
Eastern Arizona College,AZ,0.0,4634.0,,,0.5279
Embry-Riddle Aeronautical University-Prescott,AZ,0.0,1971.0,,,0.1208
Frank Lloyd Wright School of Architecture,AZ,0.0,,,,0.0
Glendale Community College,AZ,0.0,16156.0,,,0.3324
Grand Canyon University,AZ,0.0,38905.0,,,0.664
International Academy of Hair Design,AZ,0.0,188.0,,,0.3905
GateWay Community College,AZ,0.0,5211.0,,,0.5832
Mesa Community College,AZ,0.0,19055.0,,,0.401
ITT Technical Institute-Tucson,AZ,0.0,400.0,,,0.7457
ITT Technical Institute-Tempe,AZ,0.0,445.0,,,0.7048
Mohave Community College,AZ,0.0,4044.0,,,0.4639
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,AZ,0.0,1724.0,,,0.5710000000000001
Dine College,AZ,0.0,1420.0,,,0.4399
Northern Arizona University,AZ,0.0,23189.0,,,0.1989
Northland Pioneer College,AZ,0.0,1691.0,,,0.3944
Ottawa University-Phoenix,AZ,0.0,345.0,,,0.8841
Phoenix College,AZ,0.0,9921.0,,,0.504
Cortiva Institute-Scottsdale,AZ,0.0,87.0,,,0.6207
Pima Community College,AZ,0.0,24590.0,,,0.4215
Pima Medical Institute-Tucson,AZ,0.0,1948.0,,,0.6153
Pima Medical Institute-Albuquerque,NM,0.0,892.0,,,0.5387
Prescott College,AZ,0.0,454.0,545.0,503.0,0.3817
Refrigeration School Inc,AZ,0.0,695.0,,,0.752
Rio Salado College,AZ,0.0,8366.0,,,0.4699
Roberto-Venn School of Luthiery,AZ,0.0,42.0,,,0.0513
Hair Academy of Safford,AZ,0.0,85.0,,,0.25
Scottsdale Community College,AZ,0.0,7335.0,,,0.3648
South Mountain Community College,AZ,0.0,3653.0,,,0.4186
Arizona Christian University,AZ,0.0,620.0,485.0,480.0,0.1055
Tucson College,AZ,0.0,356.0,,,0.5317
Universal Technical Institute of Arizona Inc,AZ,0.0,2340.0,,,0.3196
Western International University,AZ,0.0,996.0,,,0.9272
Empire Beauty School-NW Phoenix,AZ,0.0,126.0,,,0.4244
Yavapai College,AZ,0.0,5359.0,,,0.5393
University of Arkansas at Little Rock,AR,0.0,7942.0,470.0,510.0,0.4062
University of Arkansas for Medical Sciences,AR,0.0,711.0,,,0.5133
ABC Beauty College Inc,AR,0.0,38.0,,,0.4688
Arkansas Baptist College,AR,0.0,896.0,,,0.2833
Arkansas Beauty School-Little Rock,AR,0.0,49.0,,,0.7027
Arkansas Beauty College,AR,0.0,33.0,,,0.3261
Lyon College,AR,0.0,690.0,505.0,528.0,0.0524
Arkansas College of Barbering and Hair Design,AR,0.0,204.0,,,0.4851
Arthur's Beauty College Inc-Fort Smith,AR,0.0,46.0,,,0.58
University of Arkansas,AR,0.0,21405.0,555.0,565.0,0.1044
University of Arkansas at Pine Bluff,AR,0.0,2391.0,410.0,427.0,0.14800000000000002
Arkansas State University-Beebe,AR,0.0,2999.0,,,0.7155
Arkansas State University-Main Campus,AR,0.0,9139.0,460.0,520.0,0.224
Arkansas Tech University,AR,0.0,8845.0,495.0,535.0,0.2436
University of Arkansas at Monticello,AR,0.0,2885.0,,,0.2261
Arthur's Beauty College Inc-Jacksonville,AR,0.0,56.0,,,0.5469
Baptist Health College-Little Rock,AR,0.0,802.0,,,0.3791
Black River Technical College,AR,0.0,1547.0,,,0.4239
University of Central Arkansas,AR,0.0,9232.0,490.0,515.0,0.1142
Central Baptist College,AR,0.0,788.0,445.0,500.0,0.4172
Cossatot Community College of the University of Arkansas,AR,0.0,1033.0,,,0.2905
Crowley's Ridge College,AR,0.0,173.0,,,0.05
Crowley's Ridge Technical Institute,AR,0.0,212.0,,,0.4056
East Arkansas Community College,AR,0.0,732.0,,,0.3831
Eastern College of Health Vocations-Little Rock,AR,0.0,205.0,,,0.6656
Imagine-Paul Mitchell Partner School,AR,0.0,398.0,,,0.3361
National Park Community College,AR,0.0,2269.0,,,0.4254
University of Arkansas Community College-Batesville,AR,0.0,1067.0,,,0.3673
Harding University,AR,0.0,4485.0,545.0,540.0,0.058
Henderson State University,AR,0.0,3226.0,485.0,495.0,0.171
Hendrix College,AR,0.0,1322.0,600.0,600.0,0.0056
Hot Springs Beauty College,AR,0.0,43.0,,,0.4186
Jefferson Regional Medical Center School of Nursing,AR,0.0,73.0,,,0.5658
John Brown University,AR,0.0,1742.0,,,0.2192
Lees School of Cosmetology,AR,0.0,28.0,,,0.5185
Career Academy of Hair Design,AR,0.0,344.0,,,0.3654
Academy of Salon and Spa,AR,0.0,102.0,,,0.3467
Arkansas State University Mid-South,AR,0.0,1127.0,,,0.3659
Arkansas Northeastern College,AR,0.0,1037.0,,,0.4119
Margaret's Hair Academy Inc,AR,0.0,45.0,,,0.3077
New Tyler Barber College Inc,AR,0.0,67.0,,,0.4937
North Arkansas College,AR,0.0,1662.0,,,0.3862
Northwest Technical Institute,AR,0.0,267.0,,,0.4127
Ouachita Baptist University,AR,0.0,1455.0,525.0,540.0,0.0207
College of the Ouachitas,AR,0.0,810.0,,,0.3324
Ozarka College,AR,0.0,1065.0,,,0.4473
University of the Ozarks,AR,0.0,578.0,495.0,520.0,0.041
University of Arkansas Community College-Morrilton,AR,0.0,1920.0,490.0,475.0,0.3541
Philander Smith College,AR,0.0,565.0,,,0.1673
Phillips Community College of the University of Arkansas,AR,0.0,769.0,,,0.2134
Southeast Arkansas College,AR,0.0,1322.0,,,0.4916
Professional Cosmetology Education Center,AR,0.0,47.0,,,0.38
Pulaski Technical College,AR,0.0,8364.0,,,0.6052
University of Arkansas Community College-Hope,AR,0.0,1078.0,,,0.3205
Rich Mountain Community College,AR,0.0,533.0,,,0.3563
Paul Mitchell the School-Arkansas,AR,0.0,118.0,,,0.1979
Searcy Beauty College,AR,0.0,59.0,,,0.2692
Shorter College,AR,0.0,403.0,,,0.703
Williams Baptist College,AR,0.0,508.0,425.0,495.0,0.0871
South Arkansas Community College,AR,0.0,1341.0,,,0.4406
Southern Arkansas University Main Campus,AR,0.0,2784.0,475.0,490.0,0.1713
Southern Arkansas University Tech,AR,0.0,732.0,,,0.2462
Velvatex College of Beauty Culture,AR,0.0,25.0,,,0.52
University of Arkansas-Fort Smith,AR,0.0,5990.0,,,0.2877
Academy of Art University,CA,0.0,9885.0,,,0.4043
ITT Technical Institute-Rancho Cordova,CA,0.0,500.0,,,0.7235
Academy of Chinese Culture and Health Sciences,CA,0.0,,,,
The Academy of Radio and TV Broadcasting,CA,0.0,14.0,,,0.4545
Avalon School of Cosmetology-Alameda,CA,0.0,253.0,,,0.3387
College of Alameda,CA,0.0,5141.0,,,0.394
Allan Hancock College,CA,0.0,9738.0,,,0.3713
American Academy of Dramatic Arts-Los Angeles,CA,0.0,280.0,,,0.1589
American Baptist Seminary of the West,CA,0.0,,,,
American Film Institute Conservatory,CA,0.0,,,,
American Beauty College,CA,0.0,97.0,,,0.1333
American Career College-Los Angeles,CA,0.0,1613.0,,,0.4017
American Conservatory Theater,CA,0.0,0.0,,,
American River College,CA,0.0,26803.0,,,0.5035
Antelope Valley College,CA,0.0,12367.0,,,0.3889
Art Center College of Design,CA,0.0,1814.0,,,0.3039
Associated Technical College-Los Angeles,CA,0.0,361.0,,,0.5916
Associated Technical College-San Diego,CA,0.0,119.0,,,0.5455
Azusa Pacific University,CA,0.0,5918.0,515.0,515.0,0.1467
Bakersfield College,CA,0.0,16982.0,,,0.3337
Barstow Community College,CA,0.0,1588.0,,,0.5086
Bellus Academy-National City,CA,0.0,177.0,,,0.3459
Bethesda University,CA,0.0,261.0,,,0.4672
Biola University,CA,0.0,4364.0,555.0,555.0,0.0395
Brooks Institute,CA,0.0,415.0,,,0.2907
Brownson Technical School,CA,0.0,46.0,,,0.6222
Bryan University,CA,0.0,1324.0,,,0.7509
Butte College,CA,0.0,11164.0,,,0.3289
Phillips Graduate Institute,CA,0.0,,,,
California Institute of Integral Studies,CA,0.0,104.0,,,0.7067
Cabrillo College,CA,0.0,12423.0,,,0.43
California Baptist University,CA,0.0,6435.0,485.0,485.0,0.2255
California College of the Arts,CA,0.0,1512.0,,,0.1751
University of California-Hastings College of Law,CA,0.0,,,,
California Institute of Technology,CA,0.0,983.0,765.0,785.0,0.0082
California Lutheran University,CA,0.0,2799.0,550.0,550.0,0.1326
California Polytechnic State University-San Luis Obispo,CA,0.0,19177.0,595.0,630.0,0.0359
Alliant International University-San Diego,CA,0.0,236.0,,,0.1625
California State University-Bakersfield,CA,0.0,7524.0,,,0.2056
California State University-Stanislaus,CA,0.0,7844.0,,,0.203
California State University-San Bernardino,CA,0.0,16439.0,440.0,450.0,0.2094
California State Polytechnic University-Pomona,CA,0.0,22269.0,515.0,555.0,0.1747
California State University-Chico,CA,0.0,15844.0,495.0,495.0,0.1358
California State University-Dominguez Hills,CA,0.0,12199.0,,,0.3762
California State University-Fresno,CA,0.0,20128.0,450.0,460.0,0.1628
California State University-Fullerton,CA,0.0,32610.0,500.0,525.0,0.1981
California State University-East Bay,CA,0.0,12275.0,,,0.3269
California State University-Long Beach,CA,0.0,31494.0,515.0,540.0,0.1708
California State University-Los Angeles,CA,0.0,20643.0,435.0,445.0,0.2574
California State University-Northridge,CA,0.0,35409.0,455.0,460.0,0.1936
California State University-Sacramento,CA,0.0,26400.0,465.0,475.0,0.2521
University of California-Berkeley,CA,0.0,27126.0,665.0,705.0,0.0621
University of California-Davis,CA,0.0,27547.0,575.0,630.0,0.0571
University of California-Irvine,CA,0.0,24474.0,540.0,620.0,0.0442
University of California-Los Angeles,CA,0.0,29627.0,645.0,680.0,0.0532
University of California-Riverside,CA,0.0,18784.0,545.0,585.0,0.0473
University of California-San Diego,CA,0.0,24801.0,615.0,695.0,0.0605
University of California-San Francisco,CA,0.0,,,,
University of California-Santa Barbara,CA,0.0,20237.0,595.0,640.0,0.0222
University of California-Santa Cruz,CA,0.0,16277.0,550.0,580.0,0.0447
Sofia University,CA,0.0,16.0,,,0.8
California Beauty School,CA,0.0,93.0,,,0.1667
California Christian College,CA,0.0,16.0,,,0.5
Le Cordon Bleu College of Culinary Arts-San Francisco,CA,0.0,442.0,,,0.544
California Hair Design Academy,CA,0.0,195.0,,,0.3288
California Institute of the Arts,CA,0.0,946.0,,,0.1035
The California Maritime Academy,CA,0.0,1047.0,,,0.1847
California Western School of Law,CA,0.0,,,,
Canada College,CA,0.0,5142.0,,,0.5086
College of the Canyons,CA,0.0,15204.0,,,0.3363
Career Academy of Beauty,CA,0.0,157.0,,,0.4551
Casa Loma College-Van Nuys,CA,0.0,446.0,,,0.4868
CET-San Diego,CA,0.0,253.0,,,0.633
