Neighborhood,Exterior1st,YearBuilt,LotFrontage,GrLivArea,GarageArea,BedroomAbvGr,FullBath,SalePrice
CollgCr,VinylSd,2003,65.0,1710,548,3,2,208500
Veenker,MetalSd,1976,80.0,1262,460,3,2,181500
CollgCr,VinylSd,2001,68.0,1786,608,3,2,223500
Crawfor,Wd Sdng,1915,60.0,1717,642,3,1,140000
NoRidge,VinylSd,2000,84.0,2198,836,4,2,250000
Mitchel,VinylSd,1993,85.0,1362,480,1,1,143000
Somerst,VinylSd,2004,75.0,1694,636,3,2,307000
NWAmes,HdBoard,1973,,2090,484,3,2,200000
OldTown,BrkFace,1931,51.0,1774,468,2,2,129900
BrkSide,MetalSd,1939,50.0,1077,205,2,1,118000
Sawyer,HdBoard,1965,70.0,1040,384,3,1,129500
NridgHt,WdShing,2005,85.0,2324,736,4,3,345000
Sawyer,HdBoard,1962,,912,352,2,1,144000
CollgCr,VinylSd,2006,91.0,1494,840,3,2,279500
NAmes,MetalSd,1960,,1253,352,2,1,157000
BrkSide,Wd Sdng,1929,51.0,854,576,2,1,132000
NAmes,Wd Sdng,1970,,1004,480,2,1,149000
Sawyer,MetalSd,1967,72.0,1296,516,2,2,90000
SawyerW,VinylSd,2004,66.0,1114,576,3,1,159000
NAmes,BrkFace,1958,70.0,1339,294,3,1,139000
NridgHt,VinylSd,2005,101.0,2376,853,4,3,325300
IDOTRR,Wd Sdng,1930,57.0,1108,280,3,1,139400
CollgCr,VinylSd,2002,75.0,1795,534,3,2,230000
MeadowV,CemntBd,1976,44.0,1060,572,3,1,129900
Sawyer,Plywood,1968,,1060,270,3,1,154000
NridgHt,VinylSd,2007,110.0,1600,890,3,2,256300
NAmes,Wd Sdng,1951,60.0,900,576,3,1,134800
NridgHt,VinylSd,2007,98.0,1704,772,3,2,306000
NAmes,MetalSd,1957,47.0,1600,319,2,1,207500
BrkSide,MetalSd,1927,60.0,520,240,1,1,68500
IDOTRR,BrkFace,1920,50.0,1317,250,3,1,40000
Sawyer,HdBoard,1966,,1228,271,3,1,149350
CollgCr,VinylSd,2007,85.0,1234,484,3,2,179900
NAmes,BrkFace,1959,70.0,1700,447,4,1,165500
NridgHt,MetalSd,2005,60.0,1561,556,2,2,277500
