dept,title,race,gender,experience_level,experience,salary
Houston Police Department-HPD,POLICE OFFICER,White,Male,Novice,1.8,45279.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Veteran,34.8,63166.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,32.0,66614.0
Public Works & Engineering-PWE,ENGINEER,Asian,Male,Novice,4.7,71680.0
Houston Airport System (HAS),CARPENTER,White,Male,Novice,3.1,42390.0
Public Works & Engineering-PWE,DEPUTY ASSISTANT DIRECTOR (EXECUTIVE LEV,White,Male,Veteran,23.0,107962.0
Houston Airport System (HAS),AIRPORT OPERATIONS COORDINATOR,,Male,Novice,0.7,44616.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Experienced,9.5,52644.0
Health & Human Services,"CHIEF PHYSICIAN,MD",Black,Male,Veteran,29.5,180416.0
Public Works & Engineering-PWE,CUSTOMER SERVICE REPRESENTATIVE I,Black,Male,Novice,1.0,30347.0
Health & Human Services,PUBLIC HEALTH INVESTIGATOR SUPERVISOR,Black,Male,Veteran,17.1,55269.0
Houston Police Department-HPD,POLICE SERGEANT,Black,Male,Veteran,15.5,77076.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,21.8,
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,35.8,
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,21.5,81239.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,24.8,66614.0
Public Works & Engineering-PWE,SENIOR INSPECTOR,White,Male,Experienced,7.7,61506.0
Houston Fire Department (HFD),FIRE FIGHTER,Black,Male,Veteran,15.7,57815.0
Public Works & Engineering-PWE,INSPECTOR,Black,Male,Novice,1.9,43264.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,12.7,55437.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Experienced,6.7,52514.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,17.3,61643.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,37.0,
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,26.9,66614.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,38.7,81239.0
Public Works & Engineering-PWE,UTILITY WORKER,Black,Male,Novice,2.9,29557.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,12.7,62540.0
Houston Fire Department (HFD),FIRE FIGHTER TRAINEE,,Male,Novice,0.7,28024.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,Hispanic,Male,Experienced,9.5,61921.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,26.9,66614.0
Health & Human Services,DENTAL ASSISTANT,Black,Female,Veteran,34.7,34923.0
Public Works & Engineering-PWE,SENIOR INSPECTOR,White,Female,Experienced,12.3,60258.0
Health & Human Services,SENIOR MICROCOMPUTER ANALYST,Asian,Female,Veteran,22.4,67499.0
Public Works & Engineering-PWE,INVENTORY MANAGEMENT SUPERVISOR,Black,Male,Experienced,8.2,38168.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Novice,2.4,43528.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,5.3,48190.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Novice,4.4,48190.0
Houston Fire Department (HFD),ASSOCIATE EMS PHYSICIAN DIRECTOR,Hispanic,Male,Novice,3.3,165216.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Novice,2.8,45279.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,35.2,66614.0
Public Works & Engineering-PWE,FIELD SUPERVISOR,Black,Male,Experienced,8.4,43597.0
Public Works & Engineering-PWE,CUSTOMER SERVICE SUPERVISOR,Black,Female,Experienced,9.0,43618.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,14.1,62540.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Experienced,13.5,66523.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,Hispanic,Male,Experienced,9.2,61921.0
Houston Police Department-HPD,POLICE SERGEANT,Hispanic,Male,Veteran,33.2,81239.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Experienced,13.7,55437.0
Houston Airport System (HAS),DIVISION MANAGER,Hispanic,Male,Veteran,24.0,86297.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Veteran,34.4,63166.0
Houston Police Department-HPD,ADMINISTRATIVE ASSOCIATE,Black,Female,Experienced,11.6,34757.0
Public Works & Engineering-PWE,ELECTRICIAN,Hispanic,Male,Experienced,11.5,49483.0
Houston Airport System (HAS),EQUIPMENT OPERATOR III,White,Male,Experienced,7.5,40144.0
Houston Airport System (HAS),LABORER,Black,Male,Novice,3.3,28163.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,Hispanic,Male,Novice,3.1,30992.0
Houston Fire Department (HFD),IT PROJECT MANAGER,Black,Female,Veteran,18.7,96668.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,57.9,81239.0
Public Works & Engineering-PWE,LABORER,Black,Female,Veteran,15.5,26125.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,31.2,
Houston Airport System (HAS),AIRPORT OPERATIONS SPECIALIST,White,Male,Experienced,12.2,43826.0
Health & Human Services,"PUBLIC HEALTH DENTIST,DDS",White,Female,Novice,0.9,100791.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Female,Veteran,18.8,66614.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,21.8,66614.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,25.3,66614.0
Health & Human Services,CUSTOMER SERVICE CLERK,Hispanic,Female,Veteran,19.4,31387.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,18.3,66614.0
Houston Airport System (HAS),ADMINISTRATIVE AIDE,White,Female,Veteran,17.4,36296.0
Houston Fire Department (HFD),SENIOR CAPTAIN,White,Male,Veteran,20.5,78355.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Experienced,6.7,52514.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Novice,2.1,43443.0
Public Works & Engineering-PWE,CUSTOMER SERVICE REPRESENTATIVE I,Black,Female,Veteran,17.2,30347.0
Public Works & Engineering-PWE,FIELD SUPERVISOR,White,Male,Veteran,36.3,44283.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,40.8,
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Veteran,16.7,62540.0
Health & Human Services,LICENSED VOCATIONAL NURSE,Black,Female,Veteran,15.9,48984.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,12.3,62540.0
Public Works & Engineering-PWE,CUSTOMER SERVICE REPRESENTATIVE I,Hispanic,Female,Novice,0.6,30347.0
Public Works & Engineering-PWE,FIELD SUPERVISOR,Black,Male,Veteran,20.7,53373.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,31.5,66614.0
Public Works & Engineering-PWE,PROCUREMENT SPECIALIST,Hispanic,Male,Novice,2.1,52156.0
Parks & Recreation,CUSTODIAN,Black,Female,Veteran,23.2,26125.0
Houston Fire Department (HFD),INSPECTOR FIRE,Hispanic,Male,Experienced,12.9,66523.0
Houston Police Department-HPD,POLICE SERGEANT,Hispanic,Male,Veteran,15.5,77076.0
Houston Police Department-HPD,POLICE OFFICER,Native American,Male,Experienced,10.7,60347.0
Public Works & Engineering-PWE,UTILITY WORKER,Black,Male,Novice,4.8,29557.0
Public Works & Engineering-PWE,UTILITY WORKER,Black,Male,Novice,0.7,30139.0
