date,Texas
2020-05-01,25.0
2020-05-02,19.0
2020-05-03,15.0
2020-05-04,24.0
2020-05-05,23.0
2020-05-06,30.0
2020-05-07,33.0
2020-05-08,38.0
2020-05-09,36.0
2020-05-10,26.0
2020-05-11,18.0
2020-05-12,31.0
2020-05-13,26.0
2020-05-14,63.0
2020-05-15,53.0
2020-05-16,34.0
2020-05-17,28.0
2020-05-18,7.0
2020-05-19,41.0
2020-05-20,45.0
2020-05-21,28.0
2020-05-22,13.0
2020-05-23,8.0
2020-05-24,60.0
2020-05-25,10.0
2020-05-26,17.0
2020-05-27,40.0
2020-05-28,35.0
2020-05-29,8.0
2020-05-30,46.0
2020-05-31,19.0
2020-06-01,9.0
2020-06-02,39.0
2020-06-03,30.0
2020-06-04,34.0
2020-06-05,36.0
2020-06-06,21.0
2020-06-07,9.0
2020-06-08,14.0
2020-06-09,20.0
2020-06-10,37.0
2020-06-11,31.0
2020-06-12,32.0
2020-06-13,25.0
2020-06-14,22.0
2020-06-15,16.0
2020-06-16,50.0
2020-06-17,41.0
2020-06-18,45.0
2020-06-19,29.0
2020-06-20,27.0
2020-06-21,13.0
2020-06-22,16.0
2020-06-23,37.0
2020-06-24,41.0
2020-06-25,52.0
2020-06-26,44.0
2020-06-27,45.0
2020-06-28,25.0
2020-06-29,27.0
2020-06-30,53.0
2020-07-01,62.0
2020-07-02,65.0
2020-07-03,72.0
2020-07-04,44.0
2020-07-05,49.0
2020-07-06,62.0
2020-07-07,130.0
2020-07-08,127.0
2020-07-09,153.0
2020-07-10,84.0
2020-07-11,82.0
2020-07-12,101.0
2020-07-13,88.0
2020-07-14,114.0
2020-07-15,163.0
2020-07-16,161.0
2020-07-17,175.0
2020-07-18,136.0
2020-07-19,103.0
2020-07-20,117.0
2020-07-21,120.0
2020-07-22,256.0
2020-07-23,190.0
2020-07-24,161.0
2020-07-25,182.0
2020-07-26,93.0
2020-07-27,685.0
2020-07-28,270.0
2020-07-29,313.0
2020-07-30,123.0
2020-07-31,120.0
2020-08-01,267.0
2020-08-02,5.0
2020-08-03,137.0
2020-08-04,234.0
2020-08-05,358.0
2020-08-06,259.0
2020-08-07,278.0
2020-08-08,211.0
2020-08-09,99.0
2020-08-10,73.0
2020-08-11,148.0
2020-08-12,149.0
2020-08-13,244.0
2020-08-14,307.0
2020-08-15,190.0
2020-08-16,128.0
2020-08-17,51.0
2020-08-18,231.0
2020-08-19,256.0
2020-08-20,240.0
2020-08-21,241.0
2020-08-22,163.0
2020-08-23,118.0
2020-08-24,46.0
2020-08-25,193.0
2020-08-26,205.0
2020-08-27,225.0
2020-08-28,172.0
2020-08-29,70.0
